kraj,id_unikalne,nazwa_firmy,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
EE,EE-B-011,Imperial Tobacco Estonia OÜ,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2, 10138",https://www.imperialbrands.ee,mały,,e-Äriregister 11058244,EE100927876,,hurtownik,"brak (Imperial Tobacco nie sprzedaje nabijarek, koncentracja na papierosach)",,3,B8,mały,średni,B2B,,Ulf Erik Joakim Högberg Jacobsson,Country Manager,info@imperialtobacco.ee,info@imperialtobacco.ee,+372 622 1881,"🐋 Część Imperial Brands PLC (UK, Bristol) — 4. największy producent tytoniu na świecie. EMTAK 46.35. Spadający revenue (€5M → €0 w 4 lata). Mimo to strategiczny: własność grupy, kontakt do HQ EU. Brak nabijarek w ofercie = B-tier cross-sell opportunity. | Müügitulu: €2.77M (2020) → €0 (2024-2025, declining)",,,,,2026-08-12,import,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-012,RYO Paper & Tobacco OÜ,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Lootsi tn 14, 10151",https://www.rollingpaper.ee,mały,,e-Äriregister 16855382,EE102675566,,detalista,"RYO akcesoria (Rizla, Raw, Greengo, Zig-Zag, Smoking, Pay-Pay, Angel, Ezee, Cartel) + grinders/trays",,3,B4,mały,średni,B2B,,Jüri Erm,"Wholesale contact: matti@cigars.ee, info@tubakas.ee",matti@cigars.ee,info@rollingpaper.ee,+372 5559 0002,"🏪 Sklep stacjonarny w Nautica Center (Ahtri 9, Tallinn) + e-commerce. Największy wybór RYO w regionie. Brak wysyłki tytoniu pocztą (zakaz prawny EE). Wholesale: osobne kontakty. Emtak 47.26. | Największy wybór RYO w Tallinnie i Nordics (per własne claim)",,,,,2026-08-12,import,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee (public) 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-013,Karia Food OÜ,Jüri,"Harju maakond, Rae vald, Jüri alevik, Kesk tee 15, 75301",,średni,,e-Äriregister 12238729,EE101519979,,hurtownik,"FMCG (food, drinks, tobacco) — possibly tytoń w ofercie",,3,B1,mały,średni,B2B,,Karl-Erik Kiipli,Juhatuse liige (board member),,info@kariafood.ee,,B-tier hurt FMCG (EMTAK 46.39). 88 pracowników. Może mieć tytoń w ofercie hurtowej. Wymaga follow-up call. | 88 pracowników (BalticFirms.eu 2025),,,,,2026-08-12,import,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-014,Karisma Food OÜ,Tallinn,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepise tn 7, 11415",https://karismafood.ee,duży,,e-Äriregister 12111650,EE101452735,,hurtownik,Fresh produce (fruits/vegetables) — NIE tytoń,,3,B1,mały,średni,B2B,,Ando Laine,Juhatuse liige (board member),info@karismafood.ee,info@karismafood.ee,+372 661 6032,"B-tier hurt FMCG (EMTAK 46.31 — owoce/warzywa). 108 pracowników. Prawdopodobnie NIE ma tytoniu, ale warty follow-up call. Była Vegelog OÜ (zmiana nazwy). | 108 pracowników (BalticFirms.eu 2025)",,,,,2026-08-17,import,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-015,Fazer Eesti OÜ,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 158/1, 11317",https://www.fazer.ee,średni,,e-Äriregister 10057691,EE100068722,,hurtownik,Sweets/chocolate (Fazer Group) — NIE tytoń,,3,B1,mały,średni,B2B,,Anne Mere,Juhatuse liige (board member),,info@fazer.ee,,"B-tier hurt FMCG (EMTAK 46.36 — cukier/czekolada). 88 pracowników, obecny w EE od 1993. Część Fazer Group (Nordic). Prawdopodobnie NIE ma tytoniu. | 88 pracowników, founded 1993",,,,,2026-08-12,import,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-016,Nordista OÜ,Tartu,"Tartu maakond, Tartu linn, Tähtvere küla, Palsa tee 2, 61410",https://nordista.eu,średni,,e-Äriregister 12711752,EE102273421,,hurtownik,FMCG (EMTAK 46.39) — possibly tytoń,,3,B1,mały,średni,B2B,,Virko Antsov,Juhatuse liige (board member),pood@nordista.eu,info@nordista.eu,+372 740 4444,B-tier hurt FMCG (EMTAK 46.39). 45 pracowników. Tartu = Południowa Estonia. Wymaga follow-up call | Hurtownik FMCG + e-papierosy + tytoń (Tartu). VAT EE102273421. | 45 pracowników (BalticFirms.eu 2025),,,,,2026-08-17,import,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-017,AS Ekspress Grupp (Media & Convenience EE),Tallinn,"Narva mnt 13, Kesklinna linnaosa, 10151 Tallinn",https://www.egrupp.ee,duży,🟡,10004677,EE100255836,,hurtownik,FMCG | Prasa | Tytoń | Akcesoria | Convenience,,,B1,mały,,,,Rain Sarapuu,Juhatuse liige (board member),egrupp@egrupp.ee,info@egrupp.ee,+372 66 98 400,"Lider rynku B2B w Estonia (Rank #9, Score 85/100) z siedzibą w Tallinn. Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100045850. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",,,,,2026-08-17,,"https://ariregister.rik.ee/eng/company/10004677/Aktsiaselts-Ekspress-Grupp (e-Äriregister / RIK public, reg 10004677)",2026-08-28 ⚠️ DO-WERYFIKACJI (API),
EE,EE-B-018,OÜ Prisma Peremarket (Hypermarket EE),Tallinn,"Mustakivi tee 17, Lasnamäe linnaosa, 13912 Tallinn",https://www.prismamarket.ee,duży,🟢,10569681,EE100622029,,hurtownik,FMCG | Tytoń | Gilze | Zapalniczki | Convenience,,,B1,mały,,,,Marko Juhani Lievonen,Juhatuse liige (board member),,kontakt@prismamarket.ee,+372 65 17 000,"Kluczowy dystrybutor regionalny oraz e-commerce #11 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 83/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Sieć Hipermarketów'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-26,2026-08-28 ⚠️ DO-WERYFIKACJI (API),
EE,EE-B-019,British American Tobacco Estonia AS,Tallinn,"Lõõtsa 8a, 11415 Tallinn",,duży,🟢,10376930,EE10376930,,producent,Tytoń | Papierosy | Akcesoria,,,B1,mały,,,,Michelangelo Perini,Juhatuse liige (board member),,info@bat.ee,+372 684 0000,"Kluczowy dystrybutor regionalny oraz e-commerce #18 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 75/100. Sklep internetowy oparty na rejestruje ruch ok. Medium. Profil handlowy: 'Dystrybutor Tytoniu'. Ocena wizualna platformy: Średnia. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",,,,,2026-08-12,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-020,E-smoke OÜ,Tallinn,"Paldiski mnt 29, 10612 Tallinn",https://www.e-smoke.ee,mały,,12159697,EE12159697,,detalista,E-papierosy | Vape,,,B2,mały,,,,Vitali Snagovski,Juhatuse liige (board member),,info@e-smoke.ee,+372 55 12 300,"Kluczowy dystrybutor regionalny oraz e-commerce #19 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 70/100. Sklep internetowy oparty na PrestaShop rejestruje ruch ok. Medium. Profil handlowy: 'Hurtownia Vape'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",,,,,2026-08-12,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-021,CTB OÜ,Tallinn,Tallinn,,mały,,16686436,EE16686436,,reseller,Tytoń | Akcesoria,,,B2,mały,,,,Juhan Kikkas,Juhatuse liige (board member),,info@ctb.ee,,"Kluczowy dystrybutor regionalny oraz e-commerce #23 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 62/100. Sklep internetowy oparty na rejestruje ruch ok. Low. Profil handlowy: 'Dystrybutor Tytoniowy'. Ocena wizualna platformy: Brak. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond.",,,,,2026-08-12,,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),
EE,EE-B-022,SNAPE OÜ (snusvape.ee),Tallinn,"Viru tn 27a, Kesklinna linnaosa, 10148 Tallinn",https://snusvape.ee,,,16011980,EE102289127,,hurtownik,,,,B9,mały,,,,Jevgeni Ivanov,Juhatuse liige (board member),info@snusvape.ee,info@snusvape.ee,+372 82820088,"Estońska sieć salonów snus/vape SNAPE OÜ (snusvape.ee, icebergpouches.ee).",,,,,2026-08-17,,"https://ariregister.rik.ee/eng/company/16011980/SNAPE-OÜ (e-Äriregister / RIK public, reg 16011980)",2026-08-28 ⚠️ DO-WERYFIKACJI (API),
EE,EE-B-023,ALPI EESTI OÜ,Lehmja,"Loomäe tee 8, Lehmja küla, Rae vald, 75306 Harju maakond, Estonia",https://www.alpieesti.ee,duży,,11242290,EE101042556,2006,hurtownik,Akcyza / Procedury celne EMTA / Obsługa importu tytoniu i akcesoriów,,3,B8,mały,wysoki,Agencja celna + Skład akcyzowy (EE1B001780101),,Tiit Roosve,Juhatuse liige,info@alpieesti.ee,info@alpieesti.ee,+372 605 0600,Licencjonowany skład podatkowy i akcyzowy (Maksu- ja Tolliamet nr EE1B001780101) wyspecjalizowany w obsłudze importu/eksportu tytoniu | znakowaniu znakami akcyzy (MAIS) oraz odprawach celnych towarów powiązanych.,,,,,2026-08-15,Import / Tranzyt UE / Skład podatkowy,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),brak
EE,EE-B-024,Estonia Logistics OÜ (RRK Liiva Keskus),Tallinn,"Liivalao 11, Nõmme linnaosa, 11216 Tallinn, Estonia",https://www.rrk.ee,duży,,10588558,EE100569797,1999,hurtownik,Skład celny & akcyzowy EMTA (EE1B001770001 / EE1B001770101),,3,B8,mały,wysoki,Skład akcyzowy + Agencja celna,,Vadi Lepik,Juhatuse liige,info@rrk.ee,info@rrk.ee,+372 611 6000,Część grupy Riigiressursside Keskus (RRK). Posiada licencję akcyzową EMTA (EE1B001770001 / EE1B001770101) na składowanie i odprawę wyrobów tytoniowych oraz towarów akcyzowych w centrum Liiva Keskus (Tallinn).,,,,,2026-08-15,Obsługa importu / Tranzyt celny,e-Äriregister 10588558 | KMKR EE100569797 | rrk.ee,2026-08-28 ⚠️ DO-WERYFIKACJI (API),brak
EE,EE-B-025,Aleserk OÜ,Hüüru,"Lepiku tn 10, Hüüru küla, Saue vald, 76911 Harju maakond, Estonia",,średni,,14246182,EE102156483,2017,hurtownik,Hurtownia tytoniu i akcesoriów RYO / gilzy,,4,B1,mały,wysoki,Hurt (EMTAK 46.35),,Alexander Kimlaychuk,Juhatuse liige,info@aleserk.com,info@aleserk.com,+372 5808 4049,Wyspecjalizowana hurtownia zarejestrowana pod EMTAK 46.35 (Tubakatoodete hulgimüük - hurt wyrobów tytoniowych i artykułów pokrewnych) w Harjumaa.,,,,,2026-08-15,Import / Dystrybucja B2B,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),brak
EE,EE-B-026,KML Distribution OÜ,Tallinn,"Narva mnt 7a, Kesklinna linnaosa, 15172 Tallinn, Estonia",,średni,,16188589,EE102750290,2021,hurtownik,Dystrybucja B2B wyrobów tytoniowych i akcesoriów,,3,B1,mały,wysoki,Hurt (EMTAK 46.35),,Kusti Laid,Juhatuse liige,kusti@reflekt.ee,kusti@reflekt.ee,+372 518 5948,Dystrybutor hurtowy z licencją na hurt wyrobów tytoniowych (EMTAK 46.35) i FMCG z siedzibą w Tallinnie.,,,,,2026-08-15,Import B2B,KRS API / CEIDG API + web search 2026-08-18,2026-08-28 ✅ FROZEN (API),brak
